id,type,cha_id,flow,farm_id,farm_area_
"5566",a_200f_1,"365",til,a_200,8.867
"748",a_040f_1,"19",til,a_040,16.450
"803",a_043f_1,"24",til,a_043,39.198
"3933",a_160f_3,"165",til,a_160,62.222
"823",a_044f_1,"24",til,a_044,72.622
"3963",a_161f_1,"166",til,a_161,12.161
"3967",a_041f_1,"166",til,a_041,91.491
"3965",a_042f_2,"166",til,a_042,60.815
"853",a_047f_1,"30",til,a_047,97.016
"6202",a_164f_3,"415",til,a_164,290.393
"903",a_048f_1,"38",til,a_048,91.164
"4312",a_165f_1,"197",til,a_165,198.224
"842",a_045f_1,"26",til,a_045,143.835
"4054",a_162f_1,"177",til,a_162,179.465
"3722",a_046f_2,"152",til,a_046,272.289
"4060",a_163f_1,"178",til,a_163,14.222
"4460",a_168f_1,"235",til,a_168,14.460
"4512",a_169f_1,"247",til,a_169,31.349
"5238",a_166f_1,"337",til,a_166,4.507
"4435",a_167f_1,"229",til,a_167,1.942
"4536",a_117f_3,"250",til,a_117,330.648
"2452",a_118f_1,"103",til,a_118,5.512
"3780",a_115f_1,"159",til,a_115,50.982
"2447",a_116f_1,"103",til,a_116,2.129
"2454",a_119f_1,"103",til,a_119,7.225
"1226",a_072f_1,"58",til,a_072,388.202
"3424",a_073f_1,"138",til,a_073,176.662
"5257",a_190f_1,"341",til,a_190,2.951
"1222",a_070f_1,"58",til,a_070,0.841
"1223",a_071f_1,"58",til,a_071,3.069
"3420",a_076f_3,"138",til,a_076,177.772
"5396",a_193f_1,"356",til,a_193,2.627
"5397",a_194f_1,"356",til,a_194,27.985
"1317",a_077f_2,"59",til,a_077,185.623
"5285",a_191f_1,"345",til,a_191,82.054
"1294",a_074f_1,"59",til,a_074,14.141
"5182",a_075f_2,"327",til,a_075,15.544
"5393",a_192f_1,"356",til,a_192,60.902
"5403",a_197f_1,"356",til,a_197,1.259
