date,var,depth,site,value
2021-11-09,temp,100,600411,4.9
2021-11-09,temp,100,600413,4.9
2021-11-09,temp,200,600409,6.3
2021-11-09,temp,200,600410,5.6
2021-11-09,temp,200,600411,4.9
2021-11-09,temp,200,600413,4.7
2021-11-09,temp,300,600409,6.4
2021-11-09,temp,300,600410,5.7
2021-11-09,temp,300,600411,5.3
2021-11-09,temp,300,600413,5.2
2021-11-09,temp,400,600409,7
2021-11-09,temp,400,600410,5.8
2021-11-09,temp,400,600411,5.9
2021-11-09,temp,400,600413,5.9
2021-11-09,temp,500,600409,7
2021-11-09,temp,500,600410,6.2
2021-11-09,temp,500,600411,6.4
2021-11-09,temp,500,600413,5.9
2021-11-09,temp,600,600409,7.2
2021-11-09,temp,600,600410,6.6
2021-11-09,temp,600,600411,6.9
2021-11-09,temp,600,600413,6.6
2021-11-10,smc,300,600409,41.5
2021-11-10,smc,300,600410,38.4
2021-11-10,smc,300,600411,36.1
2021-11-10,smc,300,600413,38.5
2021-11-10,smc,450,600409,39.5
2021-11-10,smc,450,600410,37.5
2021-11-10,smc,450,600411,44.2
2021-11-10,smc,450,600413,39
2021-11-10,smc,600,600409,41.5
2021-11-10,smc,600,600410,35.5
2021-11-10,smc,600,600411,47.9
2021-11-10,smc,600,600413,32.7
2021-11-10,smc,750,600409,39.7
2021-11-10,smc,750,600410,34.3
2021-11-10,smc,750,600411,45.7
2021-11-10,smc,750,600413,29.6
2021-11-10,smc,900,600409,39.5
2021-11-10,smc,900,600410,40.2
2021-11-10,smc,900,600411,42.2
2021-11-10,smc,900,600413,35
2021-11-10,temp,035,600409,3.4
2021-11-10,temp,035,600410,5.5
2021-11-10,temp,035,600411,5
2021-11-10,temp,035,600413,5.5
2021-11-10,temp,100,600409,6.1
2021-11-10,temp,100,600410,6.1
2021-11-10,temp,100,600411,5.6
2021-11-10,temp,100,600413,5.8
2021-11-10,temp,200,600409,6.7
2021-11-10,temp,200,600410,6.6
2021-11-10,temp,200,600411,5.8
2021-11-10,temp,200,600413,5.8
2021-11-10,temp,300,600409,6.7
2021-11-10,temp,300,600410,6.4
2021-11-10,temp,300,600411,5.9
2021-11-10,temp,300,600413,6
2021-11-10,temp,400,600409,7.1
2021-11-10,temp,400,600410,6.2
2021-11-10,temp,400,600411,6.1
2021-11-10,temp,400,600413,6.3
2021-11-10,temp,500,600409,7
2021-11-10,temp,500,600410,6.4
2021-11-10,temp,500,600411,6.5
2021-11-10,temp,500,600413,6
2021-11-10,temp,600,600409,7.1
2021-11-10,temp,600,600410,6.6
2021-11-10,temp,600,600411,6.8
2021-11-10,temp,600,600413,6.6
2021-11-11,smc,300,600409,41.4
2021-11-11,smc,300,600410,38.2
2021-11-11,smc,300,600411,33
2021-11-11,smc,300,600413,38.2
2021-11-11,smc,450,600409,39.5
2021-11-11,smc,450,600410,37.5
2021-11-11,smc,450,600411,35.5
2021-11-11,smc,450,600413,39
2021-11-11,smc,600,600409,41.5
2021-11-11,smc,600,600410,35.6
2021-11-11,smc,600,600411,47.5
2021-11-11,smc,600,600413,32.7
2021-11-11,smc,750,600409,39.9
2021-11-11,smc,750,600410,34.4
2021-11-11,smc,750,600411,45.7
2021-11-11,smc,750,600413,29.7
2021-11-11,smc,900,600409,39.5
2021-11-11,smc,900,600410,40.2
2021-11-11,smc,900,600411,42.2
2021-11-11,smc,900,600413,35.2
2021-11-11,temp,035,600409,0.4
2021-11-11,temp,035,600410,3.4
2021-11-11,temp,035,600411,2.9
2021-11-11,temp,035,600413,3.1
2021-11-11,temp,100,600409,4.3
2021-11-11,temp,100,600410,4.5
2021-11-11,temp,100,600411,4
2021-11-11,temp,100,600413,3.8
2021-11-11,temp,200,600409,6
2021-11-11,temp,200,600410,5.6
2021-11-11,temp,200,600411,4.8
2021-11-11,temp,200,600413,4.6
2021-11-11,temp,300,600409,6.3
2021-11-11,temp,300,600410,5.9
2021-11-11,temp,300,600411,5.5
